,fileId,isin,citiesName,myCities,check,pattern
0,0900045c83a87e4a,XS1240015799,NEW YORK,NEW YORK,True,Financial Centre
1,0900045c83c101a8,XS1293137904,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day Centre
2,0900045c83ac888d,XS1313796846,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
3,0900045c83b42aaf,XS1313802677,NEW YORK|TOKYO,NEW YORK|TOKYO,True,Financial Centre
4,0900045c83b36448,XS1313800895,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
5,0900045c83a715b0,XS1267246327,NEW YORK|TARGET HOLIDAYS,NEW YORK|TARGET HOLIDAYS,True,Financial Centre
6,0900045c8365c27b,XS1275964507,LONDON|NEW YORK|SAO-PAULO|TOKYO,SAO-PAULO|NEW YORK|LONDON|TOKYO,True,Financial Centre
7,0900045c83aab72e,XS1329979261,TOKYO,TOKYO,True,Financial Centre
8,0900045c83af0dc8,XS1312160507,NEW YORK,NEW YORK,True,Financial Centre
9,0900045c833b5bd8,XS1253932765,NEW YORK|SINGAPORE,NEW YORK|SINGAPORE,True,Financial Centre
10,0900045c83b0c28d,XS1267246244,NEW YORK|TARGET HOLIDAYS,NEW YORK|TARGET HOLIDAYS,True,Financial Centre
11,0900045c83b9478c,XS1293817877,HONG KONG,HONG KONG,True,Business Day Centre
12,0900045c83ba04ae,XS1051370440,LONDON|TOKYO,LONDON|TOKYO,True,Business Day
13,0900045c83a8e987,XS1267221841,NEW YORK|TARGET HOLIDAYS,NEW YORK|TARGET HOLIDAYS,True,Financial Centre
14,0900045c83bbdb52,XS1266266813,LONDON|TARGET HOLIDAYS,TARGET HOLIDAYS,False,Business Day
15,0900045c83b527cb,XS1313804459,NEW YORK|TOKYO,NEW YORK|TOKYO,True,Financial Centre
16,0900045c83b140f2,XS1332626016,LONDON|NEW YORK,NEW YORK|TARGET HOLIDAYS,False,Financial Centre
17,0900045c83b9fc0b,XS1338871996,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
18,0900045c83c6ccdc,XS1051380837,LONDON|TOKYO,TOKYO,False,Business Day
19,0900045c83b6355c,XS1313800119,LONDON|NEW YORK|TOKYO,NEW YORK|LONDON|TOKYO,True,Financial Centre
20,0900045c83b6155d,XS1293807720,HONG KONG|NEW YORK,NEW YORK|HONG KONG,True,Business Day Centre
21,0900045c83af1007,XS1051345681,LONDON|TOKYO,TOKYO,False,Business Day
22,0900045c83afb3ab,XS1326548325,HONG KONG,HONG KONG,True,Financial Centre
23,0900045c83c2ecd4,XS1339630227,NEW YORK,NEW YORK,True,Financial Centre
24,0900045c83a54cdb,XS1267238498,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
25,0900045c83b25fa7,XS1254344952,HONG KONG,HONG KONG,True,Financial Centre
26,0900045c83b0569e,XS1293112667,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day Centre
27,0900045c83b294a0,XS1293113392,MEXICO,MEXICO CITY|MEXICO,False,Business Day Centre
28,0900045c83a80205,XS1331674041,LONDON|NEW YORK,NEW YORK|LONDON,True,Financial Centre
29,0900045c833768ef,XS1251673817,NEW YORK,NEW YORK,True,Financial Centre
30,0900045c83ba37f2,XS1281398856,NEW YORK,NEW YORK|HONG KONG,False,Business Day
31,0900045c83aef46e,XS1332226775,LONDON|NEW YORK|SAO-PAULO|TOKYO,SAO-PAULO|NEW YORK|LONDON|TOKYO,True,Financial Centre
32,0900045c83b8ab3d,XS1313803642,LONDON|NEW YORK|TOKYO,NEW YORK|LONDON|TOKYO,True,Financial Centre
33,0900045c83c52472,XS1051376991,LONDON|TOKYO,TOKYO,False,Business Day
34,0900045c83af9e64,XS1326549133,HONG KONG,HONG KONG,True,Financial Centre
35,0900045c83b1f7ae,XS1326545495,HONG KONG,HONG KONG,True,Financial Centre
36,0900045c83a16786,XS1324906947,SINGAPORE,SINGAPORE,True,Business Day
37,0900045c83bfb254,XS1289649243,NEW YORK,NEW YORK,True,Financial Centre
38,0900045c83b62fdc,XS1313803725,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
39,0900045c83b230f2,XS1326545149,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Financial Centre
40,0900045c83374c8b,XS1229450140,LONDON|TARGET HOLIDAYS,TARGET HOLIDAYS,False,Business Day
41,0900045c83a97e27,XS1301456809,NEW YORK,NEW YORK|HONG KONG,False,Business Day
42,0900045c834b9142,XS1230151695,LONDON|SYDNEY|TOKYO,SYDNEY|MELBOURNE|SYDNEY|TOKYO,False,Financial Centre
43,0900045c83c4fcbf,XS1349022563,NEW YORK,NEW YORK,True,Financial Centre
44,0900045c83aa1dc5,XS1312165563,NEW YORK,NEW YORK,True,Financial Centre
45,0900045c83c404a2,XS1267294996,HONG KONG,HONG KONG,True,Business Day
46,0900045c83acaf59,XS1330533289,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
47,0900045c838acc10,XS1233733911,LONDON|NEW YORK|SAO-PAULO|TOKYO,SAO-PAULO|NEW YORK|LONDON|TOKYO,True,Financial Centre
48,0900045c83b6355b,XS1313801786,LONDON|TARGET HOLIDAYS|TOKYO,LONDON|TARGET HOLIDAYS|TOKYO,True,Financial Centre
49,0900045c83b724f4,XS1338163303,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
50,0900045c83a16789,XS1324899985,HONG KONG,HONG KONG,True,Business Day
51,0900045c83a9c0c7,XS1293844921,BEIJING|HONG KONG,BEIJING|HONG KONG,True,Business Day Centre
52,0900045c83bf1746,XS1289653195,NEW YORK,NEW YORK,True,Financial Centre
53,0900045c83572ddf,XS1068798005,LONDON|NEW YORK,NEW YORK,False,Business Day
54,0900045c83c3275f,XS1293141419,NEW YORK,NEW YORK,True,Business Day Centre
55,0900045c83ac39a2,XS1266614285,TOKYO,TOKYO,True,Financial Centre
56,0900045c83b6facf,XS1293808884,HONG KONG,HONG KONG,True,Business Day Centre
57,0900045c83b610cf,XS1338149658,TOKYO,TOKYO,True,Financial Centre
58,0900045c83b015e4,XS1289291186,HONG KONG,HONG KONG,True,Financial Centre
59,0900045c83b89e84,XS1338546903,TOKYO,TOKYO,True,Financial Centre
60,0900045c83b2bddc,XS1326542633,HONG KONG,HONG KONG,True,Financial Centre
61,0900045c83b48bd8,XS1051371174,LONDON|NEW YORK,NEW YORK,False,Business Day
62,0900045c83ba0c18,XS1267268057,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
63,0900045c83bc1559,XS1293805278,HONG KONG,HONG KONG,True,Business Day Centre
64,0900045c83b67814,XS1051370010,LONDON|TOKYO,TOKYO,False,Business Day
65,0900045c83aa0363,XS1266598736,LONDON|NEW YORK|TOKYO,NEW YORK|LONDON|TOKYO,True,Financial Centre
66,0900045c83b89e7f,XS1340008306,LONDON|TARGET HOLIDAYS|TOKYO,LONDON|TARGET HOLIDAYS|TOKYO,True,Financial Centre
67,0900045c83ac62e4,XS1301493166,NEW YORK,NEW YORK,True,Business Day
68,0900045c83a59d6d,XS1051340880,LONDON|TOKYO,TOKYO,False,Business Day
69,0900045c835c6add,XS1274660338,LONDON|NEW YORK|SAO-PAULO|TOKYO,SAO-PAULO|NEW YORK|LONDON|TOKYO,True,Financial Centre
70,0900045c82dc7beb,XS1191750113,NEW YORK,NEW YORK,True,Financial Centre
71,0900045c83b38f21,XS1336933194,HONG KONG,HONG KONG,True,Business Day
72,0900045c83b5181f,XS1336577116,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
73,0900045c83af91a1,XS1051368204,LONDON|NEW YORK,NEW YORK|LONDON,True,Business Day
74,0900045c83c310ef,XS1267292511,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Financial Centre
75,0900045c83085934,XS1220205170,LONDON|NEW YORK|SAO-PAULO|TOKYO,SAO-PAULO|NEW YORK|LONDON|TOKYO,True,Financial Centre
76,0900045c8343d41a,XS1190853736,NEW YORK,NEW YORK,True,Business Day
77,0900045c83b25f65,XS1254343988,NEW YORK,NEW YORK,True,Financial Centre
78,0900045c83b363af,XS1313800200,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
79,0900045c83c07f10,XS1051373386,LONDON|TOKYO,LONDON|TOKYO,True,Business Day
80,0900045c83aaa709,XS1313796929,NEW YORK|TOKYO,NEW YORK|TOKYO,True,Financial Centre
81,0900045c83b2db43,XS1338161513,NEW YORK,NEW YORK|HONG KONG,False,Financial Centre
82,0900045c83a72a8c,XS1326563985,SINGAPORE,SINGAPORE,True,Financial Centre
83,0900045c83cabaf7,XS1281080173,LONDON|NEW YORK,NEW YORK|LONDON,True,Financial Centre
84,0900045c838a58b8,XS1190839156,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day
85,0900045c83b610ce,XS1338809095,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
86,0900045c83a63def,XS1266625992,LONDON|NEW YORK|SAO-PAULO|TARGET HOLIDAYS|TOKYO,SAO-PAULO|NEW YORK|LONDON|TARGET HOLIDAYS|TOKYO,True,Financial Centre
87,0900045c828ba42d,XS1116262517,NEW YORK,NEW YORK,True,Financial Centre
88,0900045c83a08a57,XS1324955563,SINGAPORE,LONDON|HONG KONG|SINGAPORE,False,Business Day
89,0900045c83ab0d51,XS1331666534,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Financial Centre
90,0900045c83a8a973,XS1301479256,LONDON|TOKYO,LONDON|TOKYO,True,Business Day
91,0900045c83b44d33,XS1293120843,NEW YORK,NEW YORK,True,Business Day Centre
92,0900045c83b67823,XS1051368386,LONDON|TOKYO,LONDON|TOKYO,True,Business Day
93,0900045c83afbad4,XS1267253299,NEW YORK,NEW YORK|HONG KONG,False,Financial Centre
94,0900045c83c7e675,XS1307703717,HONG KONG,HONG KONG,True,Business Day Centre
95,0900045c83c58abb,XS1339601046,NEW YORK,NEW YORK,True,Financial Centre
96,0900045c83b015c7,XS1254345926,HONG KONG,HONG KONG,True,Financial Centre
97,0900045c83ab8766,XS1293107071,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day Centre
98,0900045c83a2ab11,XS1301457872,NEW YORK,NEW YORK|HONG KONG,False,Business Day
99,0900045c83b668d3,XS1340537718,SINGAPORE,SINGAPORE,True,Financial Centre
100,0900045c83bd729c,XS1340009452,TOKYO,TOKYO,True,Financial Centre
101,0900045c83b25f8a,XS1289323484,HONG KONG,HONG KONG,True,Financial Centre
102,0900045c83b12ac3,XS1293113129,NEW YORK,NEW YORK,True,Business Day Centre
103,0900045c83a8ec16,XS1267240395,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
104,0900045c82fa3c0c,XS1212468307,SYDNEY,SYDNEY|MELBOURNE|SYDNEY,False,Financial Centre
105,0900045c83ba0c21,XS1267269378,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
106,0900045c83a0dc0c,XS1328227191,LONDON|NEW YORK,NEW YORK|LONDON,True,Financial Centre
107,0900045c83afe799,XS1293107584,NEW YORK,NEW YORK,True,Business Day Centre
108,0900045c83b999fb,XS1340884359,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
109,0900045c83b8a706,XS1313807478,LONDON|NEW YORK|TOKYO,NEW YORK|LONDON|TOKYO,True,Financial Centre
110,0900045c83b11326,XS1301483878,LONDON|TOKYO,LONDON|TOKYO,True,Business Day
111,0900045c83b085ee,XS1336838013,NEW YORK,NEW YORK,True,Financial Centre
112,0900045c83a9c0cd,XS1293838956,HONG KONG,HONG KONG,True,Business Day Centre
113,0900045c82e482b3,XS1167346136,LONDON|NEW YORK,NEW YORK,False,Business Day
114,0900045c83b6156b,XS1293814189,HONG KONG,HONG KONG,True,Business Day Centre
115,0900045c83bce18d,XS1340107116,LONDON|NEW YORK|SAO-PAULO|TOKYO,SAO-PAULO|NEW YORK|LONDON|TOKYO,True,Financial Centre
116,0900045c83bb0e05,XS1338869826,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
117,0900045c82d3b33c,XS1183228789,SYDNEY,SYDNEY|MELBOURNE|SYDNEY,False,Financial Centre
118,0900045c83b999f9,XS1340879433,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
119,0900045c83a59fd2,XS1332159216,LONDON|NEW YORK,NEW YORK|LONDON|TARGET HOLIDAYS,False,Financial Centre
120,0900045c83b42a80,XS1313800465,TOKYO,TOKYO,True,Business Day
121,0900045c83998622,XS1190837291,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day
122,0900045c83a43a46,XS1324219945,LONDON|TOKYO,LONDON|TOKYO,True,Financial Centre
123,0900045c83a8ec2d,XS1326566814,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Financial Centre
124,0900045c83ace903,XS1266626453,ISTANBUL|LONDON|NEW YORK|TARGET HOLIDAYS|TOKYO,NEW YORK|LONDON|TARGET HOLIDAYS|ISTANBUL|TOKYO,True,Financial Centre
125,0900045c83c2f8d3,XS1313394535,LONDON|SYDNEY|TOKYO,LONDON|SYDNEY|MELBOURNE|SYDNEY|TOKYO,False,Financial Centre
126,0900045c83c0f80f,XS1313393214,LONDON|TOKYO,LONDON|TOKYO,True,Business Centre
127,0900045c83d071b1,XS1051341003,LONDON|NEW YORK|TOKYO,NEW YORK|LONDON|TOKYO,True,Business Day
128,0900045c82ea6f84,XS1190878139,NEW YORK,NEW YORK,True,Business Day
129,0900045c83c6e205,XS1289614965,NEW YORK,NEW YORK,True,Financial Centre
130,0900045c83c9c86d,XS1339631548,NEW YORK,NEW YORK,True,Financial Centre
131,0900045c83a9123e,XS1312165050,NEW YORK,NEW YORK,True,Financial Centre
132,0900045c82ee621c,XS1190886314,NEW YORK,NEW YORK,True,Business Day
133,0900045c83bd1b84,XS1293812134,HONG KONG,HONG KONG,True,Business Day Centre
134,0900045c83c30ee3,XS1289614296,HONG KONG|LONDON|NEW YORK,LONDON|NEW YORK|HONG KONG,True,Financial Centre
135,0900045c83b2b290,XS1293121148,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day Centre
136,0900045c83c122d4,XS1349641461,ZURICH,ZURICH,True,Financial Centre
137,0900045c83bb5ee9,XS1293808702,HONG KONG,HONG KONG,True,Business Day Centre
138,0900045c83b4955f,XS1336567315,HONG KONG,HONG KONG,True,Business Day
139,0900045c83b19924,XS1289278084,HONG KONG,HONG KONG,True,Financial Centre
140,0900045c8310e0dc,XS1190866803,TARGET HOLIDAYS,TARGET HOLIDAYS,True,Business Day
