,isin,citiesName,fileID
0,XS1378463068,BUENOS AIRES,0900045c839400e6
1,XS1267246327,NEW YORK,0900045c839400e6
2,XS1314875508,TARGET HOLIDAYS,0900045c839400e6
3,US50066RAB24,TARGET HOLIDAYS,0900045c839400e6
4,XS1398577475,NEW YORK,0900045c839400e6
5,XS1346593194,PRAGUE,0900045c839400e6
6,XS1343808702,ZURICH,0900045c839400e6
7,XS1254344952,SYDNEY,0900045c839400e6
8,CH0295931650,MELBOURNE,0900045c839400e6
9,XS1326554562,SYDNEY,0900045c839400e6
10,XS1333969266,MELBOURNE,0900045c839400e6
11,XS1402911298,SYDNEY,0900045c839400e6
12,XS1354249945,MELBOURNE,0900045c839400e6
13,CH0287822685,CANBERRA,0900045c839400e6
14,XS1313801786,SYDNEY,0900045c839400e6
15,XS1305149954,MELBOURNE,0900045c839400e6
16,XS1274660338,SYDNEY,0900045c839400e6
17,XS1337149105,MELBOURNE,0900045c839400e6
18,XS1358065362,SYDNEY,0900045c839400e6
19,XS0536851537,MELBOURNE,0900045c839400e6
20,XS1267285572,LONDON,0900045c839400e6
21,XS1378444944,TARGET HOLIDAYS,0900045c839400e6
22,CH0279927146,MELBOURNE,0900045c839400e6
23,XS1378425059,SYDNEY,0900045c839400e6
24,XS1385960874,SYDNEY,0900045c839400e6
25,XS1289327550,MELBOURNE,0900045c839400e6
26,XS1267269378,SYDNEY,0900045c839400e6
27,XS1328227191,MELBOURNE,0900045c839400e6
28,XS1317105697,BRASILIA,0900045c839400e6
29,XS1326563472,TARGET HOLIDAYS,0900045c839400e6
30,XS1340127908,SYDNEY,0900045c839400e6
31,CH0242059902,MELBOURNE,0900045c839400e6
32,XS1326566814,SYDNEY,0900045c839400e6
33,XS1402188129,MELBOURNE,0900045c839400e6
34,USU88803AE84,SYDNEY,0900045c839400e6
35,CH0315411808,MELBOURNE,0900045c839400e6
36,XS1308051918,TARGET HOLIDAYS,0900045c839400e6
37,XS1293137573,TARGET HOLIDAYS,0900045c839400e6
38,XS1319996747,TARGET HOLIDAYS,0900045c839400e6
39,CH0254071431,TARGET HOLIDAYS,0900045c839400e6
40,XS1324400008,NEW YORK,0900045c839400e6
41,XS1257166014,AUCKLAND,0900045c839400e6
42,XS1301481153,TARGET HOLIDAYS,0900045c839400e6
43,NO0010744139,WELLINGTON,0900045c839400e6
44,XS1254322479,NEW YORK,0900045c839400e6
45,XS1396255280,TARGET HOLIDAYS,0900045c839400e6
46,XS1346292235,TARGET HOLIDAYS,0900045c839400e6
47,XS1376610124,TARGET HOLIDAYS,0900045c839400e6
48,CH0279920869,TARGET HOLIDAYS,0900045c839400e6
49,XS1299309424,TARGET HOLIDAYS,0900045c839400e6
50,XS1229484396,TORONTO,0900045c839400e6
51,XS1254320937,TORONTO,0900045c839400e6
52,XS1340883112,TORONTO,0900045c839400e6
53,XS1325799119,TORONTO,0900045c839400e6
54,XS1236611684,TORONTO,0900045c839400e6
55,XS1377696114,LONDON,0900045c839400e6
56,XS1332078648,TORONTO,0900045c839400e6
57,XS1374379375,TORONTO,0900045c839400e6
58,XS1330994689,TORONTO,0900045c839400e6
59,XS1312177733,TORONTO,0900045c839400e6
60,XS1190839404,TORONTO,0900045c839400e6
61,NL0011653027,TORONTO,0900045c839400e6
62,XS1289130921,TORONTO,0900045c839400e6
63,XS1378469420,TORONTO,0900045c839400e6
64,XS1371473353,TORONTO,0900045c839400e6
65,XS1238251364,TORONTO,0900045c839400e6
